PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities,FacilitiesStr
Smartworld One DXP,"2, 3, 4 BHK Apartment in Sector 113, Gurgaon","['Bajghera Road', 'Palam Vihar Halt', 'DPSG Palam Vihar', 'Park Hospital', 'Gurgaon Railway Station']","{'bajghera road': '800 Meter', 'palam vihar halt': '2.5 KM', 'dpsg palam vihar': '3.1 KM', 'park hospital': '3.1 KM', 'gurgaon old railway station': '4.9 KM', 'the northcap university': '5.4 KM', 'dwarka expy': '1.2 KM', 'hyatt place gurgaon udyog vihar': '7.7 KM', 'dwarka sector 21 metro station': '7.2 KM', 'pacific d21 mall': '7.4 KM', 'indira gandhi international airport': '14.7 KM', 'hamoni golf camp': '6.2 KM', 'fun n food waterpark': '8.8 KM', 'accenture ddc5': '9 KM'}",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,370 sq.ft.', 'price-range': '₹ 2 - 2.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 - 2,050 sq.ft.', 'price-range': '₹ 2.25 - 3.59 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,600 sq.ft.', 'price-range': '₹ 3.24 - 4.56 Cr'}}","['Swimming Pool', 'Salon', 'Restaurant', 'Spa', 'Cafeteria', 'Sun Deck', '24x7 Security', 'Club House', 'Gated Community']",Swimming Pool Salon Restaurant Spa Cafeteria Sun Deck 24x7 Security Club House Gated Community
M3M Crown,"3, 4 BHK Apartment in Sector 111, Gurgaon","['DPSG Palam Vihar Gurugram', 'The NorthCap University', 'Park Hospital, Palam Vihar', 'Pacific D21 Mall', 'Palam Vihar Halt Railway Station']","{'dpsg palam vihar': '1.4 Km', 'the northcap university': '4.4 Km', 'park hospital': '1.4 Km', 'pacific d21 mall': '8.2 Km', 'palam vihar halt railway station': '1.2 Km', 'dwarka sector 21 metro station': '8.1 Km', 'dwaraka expressway': '450 m', 'fun n food waterpark': '8.1 Km', 'indira gandhi international airport': '14.1 Km', 'tau devilal sports complex': '11.2 Km', 'hamoni golf camp': '5 Km', 'hyatt place': '6.1 Km', 'altrade business centre': '11.2 Km'}",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,605 - 2,170 sq.ft.', 'price-range': '₹ 2.2 - 3.03 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,248 - 2,670 sq.ft.', 'price-range': '₹ 3.08 - 3.73 Cr'}}","['Bowling Alley', 'Mini Theatre', 'Manicured Garden', 'Swimming Pool', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Barbecue', 'Sauna']",Bowling Alley Mini Theatre Manicured Garden Swimming Pool Flower Garden Reading Lounge Golf Course Barbecue Sauna
Adani Brahma Samsara Vilasa,"Land, 3, 4 BHK Independent Floor in Sector 63, Gurgaon","['AIPL Business Club Sector 62', 'Heritage Xperiential Learning School', 'CK Birla Hospital', 'Paras Trinity Mall Sector 63', 'Rapid Metro Station Sector 56']","{'aipl business club': '2.7 Km', 'heritage xperiential learning school': '2 Km', 'ck birla hospital': '2.5 Km', 'paras trinity mall': '3.5 Km', 'sector 55 56 rapid metro station': '3.8 Km', 'de adventure park': '6.8 Km', 'golf course extension rd': '99 Meter', 'doubletree by hilton hotel': '3.6 Km', 'kiit college of engineering sohna road': '8.4 Km', 'mehrauli gurgaon rd': '11.8 Km', 'indira gandhi international airport': '21.1 Km', 'nirvana rd': '160 Meter', 'teri golf course': '8.7 Km'}",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995,"{'3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '1,800 - 3,150 sq.ft.', 'price-range': '₹ 2.43 - 15.75 Cr'}, '4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Super Built-up Area', 'area': '2,750 - 4,500 sq.ft.', 'price-range': '₹ 3.36 - 22.5 Cr'}, 'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '500 - 4,329 sq.ft.', 'price-range': '₹ 2.05 - 41.13 Cr'}}","['Terrace Garden', 'Gazebo', 'Fountain', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games']",Terrace Garden Gazebo Fountain Amphitheatre Party Lawn Basketball Court Badminton Court Yoga/Meditation Area Indoor Games
Sobha City,"2, 3, 4 BHK Apartment in Sector 108, Gurgaon","['The Shikshiyan School', 'WTC Plaza', 'Luxus Haritma Resort', 'BSF Golf Course', 'Dwarka Expressway']","{'the shikshiyan school': '2.9 KM', 'wtc plaza': '4 KM', 'luxus haritma resort': '4.2 KM', 'bsf golf course': '4.7 KM', 'dwaraka expressway': '5.1 Km', ""rion's hospital"": '5.6 Km', 'gurgaon': '5.9 KM', 'the northcap university': '9.2 KM', 'dwarka sector 21': '9.9 KM', 'nehru stadium': '10.7  KM', 'fun n food waterpark': '12.1 KM', 'indira gandhi international airport': '19.3 Km', 'vasant kunj': '20.8 KM'}",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,381 - 1,692 sq.ft.', 'price-range': '₹ 1.55 - 3.21 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,711 - 2,343 sq.ft.', 'price-range': '₹ 1.76 - 4.79 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,423 - 2,963 sq.ft.', 'price-range': '₹ 2.5 - 6.06 Cr'}}","['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']",Swimming Pool Volley Ball Court Aerobics Centre Card Room Barbecue Sauna Steam Room Creche/Day care Skating Rink
Signature Global City 93,"2, 3 BHK Independent Floor in Sector 93 Gurgaon","['Pranavananda Int. School', 'DLF Site central office', 'Holiday Inn Gurugram Sector 90', 'Krishna Hospital', 'Royal Institute Of Science']","{'pranavananda international school': '450 m', 'dlf site central office': '1.2 Km', 'holiday inn sector 90': '2 Km', 'krishna hospital': '2.3 Km', 'royal institute of science & management': '2.4 Km', 'sapphire 93 mall': '6.3 Km', 'nh48': '6.9 Km', 'garhi harsaru junction': '7.2 Km', 'manesar golf course': '7.3 Km', 'aapno ghar': '9.6 Km', 'indira gandhi international airport': '31 Km'}",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '981 - 1,118 sq.ft.', 'price-range': '₹ 93.01 L - 1.06 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,235 - 1,530 sq.ft.', 'price-range': '₹ 1.12 - 1.45 Cr'}}","['Mini Theatre', 'Doctor on Call', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Salon']",Mini Theatre Doctor on Call Concierge Service Swimming Pool Bar/Chill-Out Lounge Laundry Flower Garden Reflexology Park Salon
Whiteland The Aspen,"3, 4, 5 BHK Apartment in Sector 76, Gurgaon","['Vega Schools NH-8', 'DLF Corporate Greens', 'Miracles Apollo Cradle Hospital', 'Sapphire 83 Mall', 'Hyatt Regency Gurugram']","{'vega school': '650 Meter', 'dlf corporate greens': '6.2 Km', 'miracles apollo cradle /spectra hospital': '6 Km', 'sapphire 93 mall': '3.7 Km', 'hyatt regency': '3.9 Km', 'nh 248': '3.3 Km', 'garhi harsaru junction': '11.1 Km', 'indira gandhi international airport': '25.9 Km', 'tau devilal sports complex': '10.4 Km', 'golden greens golf & resorts limited': '9.2 Km', 'de adventure park': '8.8 Km'}",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,290 - 2,937 sq.ft.', 'price-range': '₹ 3.07 - 3.96 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,243 - 12,613 sq.ft.', 'price-range': '₹ 4.35 - 17.39 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '6,096 - 7,582 sq.ft.', 'price-range': '₹ 8.21 - 10.24 Cr'}}","['Reflexology Park', 'Card Room', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Entrance Lobby', 'Yoga/Meditation Area', 'Club House']",Reflexology Park Card Room High Speed Elevators Sauna Jacuzzi Spa Entrance Lobby Yoga/Meditation Area Club House
Bestech Altura,"3, 4 BHK Apartment in Sector 79, Gurgaon","['Mount Olympus Junior School', 'Miracles Apollo Hospital', 'Sapphire 83 Mall', 'NH -8', 'Savoy Suites, Manesar']","{'mount olympus junior school': '1 Km', 'miracles apollo hospital': '4.8 Km', 'sapphire 93 mall': '5.4 Km', 'nh 8': '6.5 Km', 'savoy suites': '6.9 Km', 'golden greens golf & resorts limited': '8.2 Km', 'imt manesar': '9.2 Km', 'amity university': '12 Km', 'golf course extension rd': '13.6 Km', 'indira gandhi international airport': '31 Km'}",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,015 - 2,150 sq.ft.', 'price-range': '₹ 1.53 - 1.85 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,250 - 2,675 sq.ft.', 'price-range': '₹ 1.71 - 2.46 Cr'}}","['Swimming Pool', 'Football', 'Flower Garden', 'Reading Lounge', 'School', 'Pergola', 'Skating Rink', 'Grocery Shop', 'Squash Court']",Swimming Pool Football Flower Garden Reading Lounge School Pergola Skating Rink Grocery Shop Squash Court
Elan The Presidential,"3, 4, 5 BHK Apartment in Sector 106, Gurgaon","['Dwarka Expy, Sector 109', 'Euro International School, Sector- 109', 'Jai Sai Ram Hospital', 'Aryan Hospital', 'Idea Cosmic Plaza']","{'dwarka expy sector 109': '850 Meter', 'euro international school sector 51': '1.9 KM', 'jai sai ram hospital': '2.4 KM', 'aryan hospital': '5.6 KM', 'idea cosmic plaza': '6 KM', 'the northcap university': '7.2 KM', 'indira gandhi international airport': '17.8 KM', 'gurgaon old railway station': '3.2 KM'}",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,347 - 2,600 sq.ft.', 'price-range': '₹ 4.05 - 8.88 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,692 - 3,100 sq.ft.', 'price-range': '₹ 4.89 - 10.59 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,275 - 4,100 sq.ft.', 'price-range': '₹ 6 - 14 Cr'}}","['Swimming Pool', 'Aerobics Centre', 'Shopping Centre', 'Video Door Security', 'Amphitheatre', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Jogging Track', '24x7 Security']",Swimming Pool Aerobics Centre Shopping Centre Video Door Security Amphitheatre Yoga/Meditation Area CCTV Camera Security Jogging Track 24x7 Security
Signature Global City 92,"2, 3 BHK Independent Floor in Sector 92, Gurgaon","['Royal Institute Of Science & Management', 'Pataudi Road', 'Holiday Inn Sector 90', 'RPS International School', 'Garhi Harsaru Junction']","{'royal institute of science & management': '1.4 KM', 'pataudi road': '3.3 KM', 'holiday inn sector 90': '3.5 KM', 's n international school': '3.8 KM', 'garhi harsaru junction': '3.9 KM', 'aarvy healthcare super speciality hospital': '4 KM', 'iris broadway mall': '4.8 KM', 'imt manesar': '6.6 KM', 'dwaraka expressway': '6.6 KM', 'indira gandhi international airport': '32.5 KM'}",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '959 - 1,145 sq.ft.', 'price-range': '₹ 1.26 - 1.51 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,091 - 1,535 sq.ft.', 'price-range': '₹ 86.46 L - 4.01 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Terrace Garden', 'Waiting Lounge', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Sun Deck', 'Amphitheatre']",Swimming Pool Reflexology Park Terrace Garden Waiting Lounge Jacuzzi Skating Rink Cricket Pitch Sun Deck Amphitheatre
Emaar Digihomes,"2, 3 BHK Apartment in Sector 62, Gurgaon","['Imperia Mindspace', 'AIPL Business Tower', 'Heritage School', 'Lotus Valley Intl School, Gurgaon', 'Gurugram University']","{'imperia mindspace': '140 Meter', 'aipl business tower': '160 Meter', 'heritage school': '1.3 KM', 'lotus valley international school': '2.6 KM', 'gurugram university': '3.6 KM', 'sector 55 56 rapid metro station': '3.9 KM', 'park hospital': '5.5 KM', 'omaxe city centre mall': '5.8 KM', 'sushant university': '6.1 KM', 'badshahpur sohna rd hwysector 48': '7.5 KM', 'indira gandhi international airport': '24.8 KM'}",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,508.26 sq.ft.', 'price-range': '₹ 1.82 - 3.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,588.79 sq.ft.', 'price-range': '₹ 2 - 6.01 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Salon', 'Card Room', 'Restaurant', 'Spa', 'Creche/Day care', 'Banquet Hall', 'Lawn Tennis Court']",Mini Theatre Swimming Pool Salon Card Room Restaurant Spa Creche/Day care Banquet Hall Lawn Tennis Court
