sector,area,price,feature
sector 51,4,1.1,Basic
sector 22b,5,0.9,Basic
sector 23a,6,0.03,Basic
sector 67,6,0.75,Premium
sector 70a,6,0.47,Premium
sector 67,6,0.72,Standard
sector 67,7,0.12,Basic
sector 67,7,0.16,Standard
sector 67,7,0.12,Standard
sector 3,8,0.8,Basic
sector 66,9,0.25,Basic
sector 67,9,0.23,Basic
sohna road,9,0.15,Basic
sector 45,9,2.0,Basic
sector 52,9,1.6,Premium
sector 85,9,1.35,Premium
sector 69,9,0.75,Standard
sector 57,9,2.25,Premium
sector 42,9,2.25,Premium
sohna road,9,0.17,Premium
sector 66,9,0.15,Premium
sohna road,9,0.18,Premium
sector 67,9,0.15,Standard
sector 105,9,0.6,Basic
sector 95b,9,0.13,Basic
sector 110 a,10,1.64,Basic
sector 78,11,1.2,Premium
sector 11,11,0.15,Standard
sector 99a,11,1.06,Premium
sector 78,11,1.26,Basic
sector 88a,11,1.38,Basic
sector 99a,11,1.09,Basic
sector 95,11,0.9,Basic
sector 106,11,1.35,Basic
sector 112,12,1.72,Premium
sohna road,12,0.89,Premium
sector 112,12,1.72,Premium
sector 99a,12,1.25,Basic
sector 35,12,0.9,Premium
sector 95,14,1.3,Basic
sector 43,14,3.1,Basic
sector 95,14,1.25,Premium
sector 78,14,1.67,Basic
sector 23,14,2.58,Standard
sector 10,15,2.7,Basic
sohna road,15,0.6,Standard
sector 43,15,3.19,Basic
sohna road,15,0.24,Premium
sector 110,15,0.7,Basic
sector 70a,16,2.5,Basic
sector 35 sohna,16,1.97,Premium
sector 88a,16,1.72,Premium
sector 93,17,2.23,Basic
sector 99a,17,1.98,Basic
sector 14,17,0.68,Basic
pataudi,17,0.9,Basic
sector 108,17,2.5,Premium
sector 78,17,2.05,Premium
sector 88b,17,1.86,Premium
sector 108,17,2.3,Basic
sector 102,17,2.95,Standard
sector 70a,17,3.13,Premium
sector 108,17,2.53,Premium
sector 88b,17,1.65,Premium
sector 88,17,2.07,Premium
sector 88a,17,2.0,Standard
sohna road,17,0.32,Standard
sector 33 sohna,17,2.34,Premium
sector 88,17,1.96,Premium
sohna road,17,1.33,Premium
sector 108,17,2.26,Basic
sector 33 sohna,17,3.5,Basic
sector 89,18,3.13,Standard
sector 108,18,2.35,Basic
sector 71,18,0.5,Basic
sector 33 sohna,19,2.18,Basic
sector 45,19,3.8,Premium
sector 108,19,2.4,Premium
sector 57,19,3.8,Premium
sector 88a,19,2.87,Standard
sector 43,20,4.9,Standard
sector 49,20,4.8,Premium
farukhnagar,22,0.38,Premium
sector 102,22,3.6,Standard
sector 83,22,3.24,Standard
sector 53,23,4.0,Basic
sector 67,23,7.0,Basic
sector 22,23,1.0,Basic
sohna road,23,1.1,Basic
sector 108,23,3.0,Premium
sector 33 sohna,23,2.54,Basic
sector 33 sohna,23,3.7,Premium
sector 11,23,0.26,Premium
sector 99,23,3.65,Standard
sector 45,24,4.26,Basic
sector 22,25,0.18,Basic
sector 63,25,4.6,Premium
sector 63a,25,4.24,Premium
sector 2,25,3.92,Basic
sector 26,25,6.5,Premium
sector 88,25,2.97,Premium
sector 88a,25,2.9,Standard
sector 49,25,4.86,Premium
sector 37d,25,3.33,Basic
sector 89,28,4.0,Basic
sector 57,28,4.5,Basic
sector 102,28,4.2,Premium
sector 43,28,7.5,Standard
sector 89,28,3.0,Premium
sector 43,28,7.75,Premium
sector 33 sohna,28,4.3,Premium
sector 102,29,3.75,Basic
sector 5,32,4.0,Premium
sector 91,33,4.09,Basic
sector 22,42,0.9,Basic
sector 2 sohna,42,0.07,Basic
sector 105,42,0.23,Basic
sector 99,42,0.12,Basic
sector 67,42,0.07,Standard
sector 102,42,7.25,Standard
sector 73,42,9.5,Premium
sector 33,42,0.17,Premium
sector 67,42,0.07,Basic
sector 33,42,0.04,Basic
sector 12,42,0.04,Basic
sector 25,43,13.0,Standard
sector 102,44,6.11,Premium
sector 73,46,9.0,Basic
sector 88b,46,4.0,Premium
sector 26,46,10.0,Premium
sector 24,47,8.5,Standard
sector 60,48,11.1,Premium
sector 38,50,1.25,Basic
sector 24,50,1.4,Basic
sector 11,50,0.38,Basic
sector 57,50,1.5,Basic
sector 17,50,0.23,Basic
sector 42,50,1.33,Basic
sector 68,50,0.04,Basic
sector 47,50,1.4,Basic
sector 50,50,1.6,Standard
sector 24,50,1.25,Basic
sector 10a,50,0.43,Basic
sector 55,50,1.2,Basic
sector 43,50,1.25,Premium
sector 42,50,1.2,Premium
sector 40,50,1.05,Standard
sector 43,50,1.2,Standard
sector 49,50,1.75,Premium
sector 43,50,1.3,Premium
sector 43,50,1.25,Basic
sector 43,50,1.2,Premium
sector 55,50,1.15,Premium
sector 24,50,1.15,Premium
sector 24,50,1.25,Premium
