property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
flat,sector 36,0.82,3.0,2.0,2,New Property,850.0,0.0,0.0,0.0,Low,Low Floor,0.0009647058823529411,"28.4160° N, 76.9914° E",28.416,76.9914
flat,sector 89,0.95,2.0,2.0,2,New Property,1226.0,1.0,0.0,0.0,Low,Mid Floor,0.0007748776508972267,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,sector 92,1.6,3.0,4.0,3+,Relatively New,1615.0,1.0,0.0,1.0,High,Mid Floor,0.0009907120743034056,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 102,0.48,2.0,2.0,1,Relatively New,582.0,0.0,1.0,0.0,High,Mid Floor,0.000824742268041237,"28.4750° N, 76.9715° E",28.475,76.9715
flat,gwal pahari,7.5,4.0,4.0,3+,New Property,4842.0,1.0,0.0,1.0,Low,High Floor,0.0015489467162329617,"28.4484° N, 77.0210° E",28.4484,77.021
flat,sector 108,2.0,3.0,3.0,3+,Relatively New,2116.0,1.0,0.0,0.0,Medium,High Floor,0.000945179584120983,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 102,1.9,3.0,4.0,3,Relatively New,1710.0,1.0,0.0,0.0,High,Mid Floor,0.0011111111111111111,"28.4750° N, 76.9715° E",28.475,76.9715
house,sector 105,1.2,3.0,2.0,1,Old Property,1185.51,0.0,0.0,0.0,Low,Low Floor,0.0010122225877470456,"28.4952° N, 77.0114° E",28.4952,77.0114
house,sector 26,4.5,3.0,3.0,2,Moderately Old,1350.0,1.0,0.0,0.0,Medium,Low Floor,0.0033333333333333335,"28.4757° N, 77.1032° E",28.4757,77.1032
house,sector 109,1.55,3.0,2.0,0,Relatively New,2360.0,0.0,0.0,0.0,Low,Low Floor,0.0006567796610169492,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 28,1.6,2.0,2.0,2,Relatively New,1222.0,0.0,0.0,0.0,Medium,Mid Floor,0.001309328968903437,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 109,2.25,3.0,4.0,3,Relatively New,2339.0,1.0,0.0,0.0,Medium,High Floor,0.0009619495510902095,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 65,2.77,4.0,4.0,3+,Relatively New,2194.0,1.0,0.0,2.0,High,Mid Floor,0.0012625341841385597,"28.4030° N, 77.0690° E",28.403,77.069
house,sector 12,1.2,2.0,4.0,2,Relatively New,846.0,0.0,0.0,1.0,Low,Low Floor,0.0014184397163120566,"28.4723° N, 77.0320° E",28.4723,77.032
flat,sector 92,1.55,3.0,4.0,3,Relatively New,1805.0,1.0,0.0,1.0,Medium,High Floor,0.0008587257617728532,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 85,1.09,2.0,2.0,3,Relatively New,1638.0,0.0,1.0,0.0,High,Mid Floor,0.0006654456654456654,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,sector 85,1.77,3.0,4.0,3+,New Property,2179.0,0.0,1.0,0.0,Medium,Mid Floor,0.0008122992198256081,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,sector 30,0.85,2.0,2.0,1,Old Property,734.0,0.0,0.0,1.0,Low,Low Floor,0.0011580381471389645,"28.4604° N, 77.0579° E",28.4604,77.0579
flat,sector 107,0.9,2.0,2.0,3+,Relatively New,1236.0,0.0,0.0,1.0,Low,Mid Floor,0.0007281553398058253,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sector 3,1.2,2.0,2.0,3,Under Construction,1307.0,0.0,0.0,0.0,Medium,Low Floor,0.000918133129303749,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 2,0.6,1.0,1.0,1,Moderately Old,665.0,0.0,0.0,1.0,Medium,Mid Floor,0.0009022556390977444,"28.5095° N, 77.0320° E",28.5095,77.032
house,sector 41,9.0,8.0,5.0,3+,Old Property,3240.0,1.0,1.0,1.0,Low,Mid Floor,0.002777777777777778,"28.4557° N, 77.0632° E",28.4557,77.0632
house,sector 41,7.0,7.0,7.0,3+,Moderately Old,2475.0,1.0,1.0,2.0,High,Mid Floor,0.0028282828282828283,"28.4557° N, 77.0632° E",28.4557,77.0632
