sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 51,4,1.1,Basic,0.275,"28.4320° N, 77.0686° E",28.432,77.0686
sector 67,6,0.75,Premium,0.125,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,6,0.72,Standard,0.12,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,7,0.12,Basic,0.017142857142857144,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,7,0.16,Standard,0.022857142857142857,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,7,0.12,Standard,0.017142857142857144,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 3,8,0.8,Basic,0.1,"28.4909° N, 77.0176° E",28.4909,77.0176
sector 66,9,0.25,Basic,0.027777777777777776,"28.3925° N, 77.0541° E",28.3925,77.0541
sector 67,9,0.23,Basic,0.025555555555555557,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 45,9,2.0,Basic,0.2222222222222222,"28.4466° N, 77.0660° E",28.4466,77.066
sector 52,9,1.6,Premium,0.17777777777777778,"28.4379° N, 77.0785° E",28.4379,77.0785
sector 85,9,1.35,Premium,0.15000000000000002,"28.4042° N, 76.9513° E",28.4042,76.9513
sector 69,9,0.75,Standard,0.08333333333333333,"28.3966° N, 77.0341° E",28.3966,77.0341
sector 57,9,2.25,Premium,0.25,"28.4232° N, 77.0752° E",28.4232,77.0752
sector 42,9,2.25,Premium,0.25,"28.4576° N, 77.1020° E",28.4576,77.102
sector 66,9,0.15,Premium,0.016666666666666666,"28.3925° N, 77.0541° E",28.3925,77.0541
sector 67,9,0.15,Standard,0.016666666666666666,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 105,9,0.6,Basic,0.06666666666666667,"28.4952° N, 77.0114° E",28.4952,77.0114
sector 78,11,1.2,Premium,0.10909090909090909,"28.3733° N, 76.9729° E",28.3733,76.9729
sector 11,11,0.15,Standard,0.013636363636363636,"28.4531° N, 77.0202° E",28.4531,77.0202
sector 99a,11,1.06,Premium,0.09636363636363637,"28.4561° N, 76.9542° E",28.4561,76.9542
sector 78,11,1.26,Basic,0.11454545454545455,"28.3733° N, 76.9729° E",28.3733,76.9729
sector 88a,11,1.38,Basic,0.12545454545454546,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 99a,11,1.09,Basic,0.0990909090909091,"28.4561° N, 76.9542° E",28.4561,76.9542
sector 95,11,0.9,Basic,0.08181818181818182,"28.4172° N, 76.9081° E",28.4172,76.9081
sector 106,11,1.35,Basic,0.12272727272727274,"28.5007° N, 77.0003° E",28.5007,77.0003
sector 112,12,1.72,Premium,0.14333333333333334,"28.5189° N, 77.0183° E",28.5189,77.0183
sector 112,12,1.72,Premium,0.14333333333333334,"28.5189° N, 77.0183° E",28.5189,77.0183
sector 99a,12,1.25,Basic,0.10416666666666667,"28.4561° N, 76.9542° E",28.4561,76.9542
sector 35,12,0.9,Premium,0.075,"28.4155° N, 77.0022° E",28.4155,77.0022
sector 95,14,1.3,Basic,0.09285714285714286,"28.4172° N, 76.9081° E",28.4172,76.9081
sector 43,14,3.1,Basic,0.22142857142857145,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 95,14,1.25,Premium,0.08928571428571429,"28.4172° N, 76.9081° E",28.4172,76.9081
sector 78,14,1.67,Basic,0.11928571428571429,"28.3733° N, 76.9729° E",28.3733,76.9729
sector 23,14,2.58,Standard,0.1842857142857143,"28.5121° N, 77.0478° E",28.5121,77.0478
sector 10,15,2.7,Basic,0.18000000000000002,"28.4537° N, 77.0009° E",28.4537,77.0009
sector 43,15,3.19,Basic,0.21266666666666667,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 110,15,0.7,Basic,0.04666666666666666,"28.5145° N, 77.0197° E",28.5145,77.0197
sector 88a,16,1.72,Premium,0.1075,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 93,17,2.23,Basic,0.13117647058823528,"28.4153° N, 76.9326° E",28.4153,76.9326
sector 99a,17,1.98,Basic,0.11647058823529412,"28.4561° N, 76.9542° E",28.4561,76.9542
sector 14,17,0.68,Basic,0.04,"28.4711° N, 77.0454° E",28.4711,77.0454
sector 108,17,2.5,Premium,0.14705882352941177,"28.5134° N, 76.9830° E",28.5134,76.983
sector 78,17,2.05,Premium,0.12058823529411763,"28.3733° N, 76.9729° E",28.3733,76.9729
sector 88b,17,1.86,Premium,0.10941176470588236,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 108,17,2.3,Basic,0.13529411764705881,"28.5134° N, 76.9830° E",28.5134,76.983
sector 102,17,2.95,Standard,0.1735294117647059,"28.4750° N, 76.9715° E",28.475,76.9715
sector 108,17,2.53,Premium,0.1488235294117647,"28.5134° N, 76.9830° E",28.5134,76.983
sector 88b,17,1.65,Premium,0.09705882352941175,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 88,17,2.07,Premium,0.12176470588235293,"28.4220° N, 76.9571° E",28.422,76.9571
sector 88a,17,2.0,Standard,0.11764705882352941,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 88,17,1.96,Premium,0.11529411764705882,"28.4220° N, 76.9571° E",28.422,76.9571
sector 108,17,2.26,Basic,0.13294117647058823,"28.5134° N, 76.9830° E",28.5134,76.983
sector 89,18,3.13,Standard,0.17388888888888887,"28.4253° N, 76.9439° E",28.4253,76.9439
sector 108,18,2.35,Basic,0.13055555555555556,"28.5134° N, 76.9830° E",28.5134,76.983
sector 71,18,0.5,Basic,0.027777777777777776,"28.4104° N, 77.0281° E",28.4104,77.0281
sector 45,19,3.8,Premium,0.19999999999999998,"28.4466° N, 77.0660° E",28.4466,77.066
sector 108,19,2.4,Premium,0.12631578947368421,"28.5134° N, 76.9830° E",28.5134,76.983
sector 57,19,3.8,Premium,0.19999999999999998,"28.4232° N, 77.0752° E",28.4232,77.0752
sector 88a,19,2.87,Standard,0.15105263157894738,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 43,20,4.9,Standard,0.24500000000000002,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 49,20,4.8,Premium,0.24,"28.4121° N, 77.0480° E",28.4121,77.048
sector 102,22,3.6,Standard,0.16363636363636364,"28.4750° N, 76.9715° E",28.475,76.9715
sector 83,22,3.24,Standard,0.14727272727272728,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 53,23,4.0,Basic,0.17391304347826086,"28.4433° N, 77.0948° E",28.4433,77.0948
sector 67,23,7.0,Basic,0.30434782608695654,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 22,23,1.0,Basic,0.043478260869565216,"28.5072° N, 77.0640° E",28.5072,77.064
sector 108,23,3.0,Premium,0.13043478260869565,"28.5134° N, 76.9830° E",28.5134,76.983
sector 11,23,0.26,Premium,0.011304347826086957,"28.4531° N, 77.0202° E",28.4531,77.0202
sector 99,23,3.65,Standard,0.15869565217391304,"28.4640° N, 76.9614° E",28.464,76.9614
sector 45,24,4.26,Basic,0.1775,"28.4466° N, 77.0660° E",28.4466,77.066
sector 22,25,0.18,Basic,0.0072,"28.5072° N, 77.0640° E",28.5072,77.064
sector 63,25,4.6,Premium,0.184,"28.3971° N, 77.0867° E",28.3971,77.0867
sector 63a,25,4.24,Premium,0.1696,"28.3923° N, 77.0888° E",28.3923,77.0888
sector 2,25,3.92,Basic,0.1568,"28.5095° N, 77.0320° E",28.5095,77.032
sector 26,25,6.5,Premium,0.26,"28.4757° N, 77.1032° E",28.4757,77.1032
sector 88,25,2.97,Premium,0.1188,"28.4220° N, 76.9571° E",28.422,76.9571
sector 88a,25,2.9,Standard,0.11599999999999999,"28.4347° N, 76.9557° E",28.4347,76.9557
sector 49,25,4.86,Premium,0.19440000000000002,"28.4121° N, 77.0480° E",28.4121,77.048
sector 37d,25,3.33,Basic,0.1332,"28.4478° N, 76.9703° E",28.4478,76.9703
sector 89,28,4.0,Basic,0.14285714285714285,"28.4253° N, 76.9439° E",28.4253,76.9439
sector 57,28,4.5,Basic,0.16071428571428573,"28.4232° N, 77.0752° E",28.4232,77.0752
sector 102,28,4.2,Premium,0.15,"28.4750° N, 76.9715° E",28.475,76.9715
sector 43,28,7.5,Standard,0.26785714285714285,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 89,28,3.0,Premium,0.10714285714285714,"28.4253° N, 76.9439° E",28.4253,76.9439
